#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
10,Tue May 03 14:26:56 EDT 2022,5,0,StyleTest,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest+ , ,0,10,false, , ,StyleTest ,StyleTest-(0.0/40.0) , ,
11,Tue May 03 14:26:57 EDT 2022,5,0,StyleTest,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,0,11,false, , ,StyleTest ,StyleTest-(0.0/40.0) , ,
12,Tue May 03 15:14:43 EDT 2022,5,0,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,1,0,false, , , ,SMLGreetingLoadAndRun-(10.0/10.0) , ,
13,Tue May 03 15:14:45 EDT 2022,5,0,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,1,1,false, , , ,SMLGreetingLoadAndRun-(10.0/10.0) , ,
14,Tue May 03 15:21:21 EDT 2022,5,0,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,0,false, , , ,SMLGreetingLoadAndRun-(10.0/10.0) , ,
15,Tue May 03 15:21:21 EDT 2022,5,0,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,1,false, , , ,SMLGreetingLoadAndRun-(10.0/10.0) , ,
16,Tue May 03 15:21:22 EDT 2022,5,0,FunctionParametersTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,2,true,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety ,SocialDistanceSMLProvided , ,ConcisePrintSafety-(0.0/15.0) ListPrintSafety-(0.0/15.0) MatchingDerivedSafe-(0.0/15.0) MatchingGivenSafe-(0.0/15.0) MatchingSafe-(0.0/20.0) PrintSafety-(0.0/20.0) , ,
17,Tue May 03 15:21:23 EDT 2022,5,0,FunctionParametersTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,3,true,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety , , ,ConcisePrintSafety-(0.0/15.0) ListPrintSafety-(0.0/15.0) MatchingDerivedSafe-(0.0/15.0) MatchingGivenSafe-(0.0/15.0) MatchingSafe-(0.0/20.0) PrintSafety-(0.0/20.0) , ,
18,Tue May 03 15:21:24 EDT 2022,5,0,FunctionReturnValuesTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,4,true,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe , , ,CurriedMatchingDerivedSafe-(0.0/7.0) CurriedMatchingGivenSafe-(0.0/7.0) CurriedOnceInterpolatedSafe-(0.0/7.0) CurriedTwiceInterpolatedSafe-(0.0/7.0) CurryableInterpolatedSafe-(0.0/7.0) CurryableMatchingSafe-(0.0/7.0) , ,
19,Tue May 03 15:21:24 EDT 2022,5,0,FunctionReturnValuesTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,5,true,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe , , ,CurriedMatchingDerivedSafe-(0.0/7.0) CurriedMatchingGivenSafe-(0.0/7.0) CurriedOnceInterpolatedSafe-(0.0/7.0) CurriedTwiceInterpolatedSafe-(0.0/7.0) CurryableInterpolatedSafe-(0.0/7.0) CurryableMatchingSafe-(0.0/7.0) , ,
20,Tue May 03 15:21:25 EDT 2022,5,0,FunctionalProgrammingTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,6,true,GivenSafeSML InterpolatedSafeSML , , ,GivenSafeSML-(0.0/7.0) InterpolatedSafeSML-(0.0/10.0) , ,
21,Tue May 03 15:21:26 EDT 2022,5,0,FunctionalProgrammingTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,7,true,GivenSafeSML InterpolatedSafeSML , , ,GivenSafeSML-(0.0/7.0) InterpolatedSafeSML-(0.0/10.0) , ,
22,Tue May 03 15:21:26 EDT 2022,5,0,ListsAndRecursionTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,8,true,ListDerivedSafeSML , , ,ListDerivedSafeSML-(0.0/15.0) , ,
23,Tue May 03 15:21:28 EDT 2022,5,0,ListsAndRecursionTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,9,true,ListDerivedSafeSML , , ,ListDerivedSafeSML-(0.0/15.0) , ,
24,Tue May 03 15:21:28 EDT 2022,5,0,StyleTest,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,10,false, , ,StyleTest ,StyleTest-(0.0/40.0) , ,
25,Tue May 03 15:21:30 EDT 2022,5,0,StyleTest,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,11,false, , ,StyleTest ,StyleTest-(0.0/40.0) , ,
26,Tue May 03 15:21:33 EDT 2022,5,0,FunctionParametersTestSuite,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,12,true,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety , , ,ConcisePrintSafety-(0.0/15.0) ListPrintSafety-(0.0/15.0) MatchingDerivedSafe-(0.0/15.0) MatchingGivenSafe-(0.0/15.0) MatchingSafe-(0.0/20.0) PrintSafety-(0.0/20.0) , ,
27,Tue May 03 15:21:34 EDT 2022,5,0,PrintSafety,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,2,13,false, , , ,PrintSafety-(0.0/20.0) , ,
28,Tue May 03 15:22:30 EDT 2022,5,0,SMLGreetingLoadAndRun,SMLGreetingLoadAndRun , ,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SocialDistanceSMLProvided StyleTest , ,3,0,false, , , ,SMLGreetingLoadAndRun-(10.0/10.0) , ,
29,Tue May 03 15:22:59 EDT 2022,44,39,FunctionParametersTestSuite,ConcisePrintSafety+ ListPrintSafety+ MatchingDerivedSafe+ MatchingGivenSafe+ MatchingSafe+ PrintSafety+ SMLGreetingLoadAndRun SocialDistanceSMLProvided+ , ,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest , ,3,1,true,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety ,SocialDistanceSMLProvided , ,ConcisePrintSafety-(15.0/15.0) ListPrintSafety-(15.0/15.0) MatchingDerivedSafe-(15.0/15.0) MatchingGivenSafe-(15.0/15.0) MatchingSafe-(20.0/20.0) PrintSafety-(20.0/20.0) , ,
30,Tue May 03 15:22:59 EDT 2022,44,0,FunctionParametersTestSuite,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest , ,3,2,true,ConcisePrintSafety ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety , , ,ConcisePrintSafety-(15.0/15.0) ListPrintSafety-(15.0/15.0) MatchingDerivedSafe-(15.0/15.0) MatchingGivenSafe-(15.0/15.0) MatchingSafe-(20.0/20.0) PrintSafety-(20.0/20.0) , ,
31,Tue May 03 15:23:15 EDT 2022,77,33,FunctionReturnValuesTestSuite,ConcisePrintSafety CurriedMatchingDerivedSafe+ CurriedMatchingGivenSafe+ CurriedOnceInterpolatedSafe+ CurriedTwiceInterpolatedSafe+ CurryableInterpolatedSafe+ CurryableMatchingSafe+ ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest , ,3,3,true,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe , , ,CurriedMatchingDerivedSafe-(7.0/7.0) CurriedMatchingGivenSafe-(7.0/7.0) CurriedOnceInterpolatedSafe-(7.0/7.0) CurriedTwiceInterpolatedSafe-(7.0/7.0) CurryableInterpolatedSafe-(7.0/7.0) CurryableMatchingSafe-(7.0/7.0) , ,
32,Tue May 03 15:23:18 EDT 2022,77,0,FunctionReturnValuesTestSuite,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML StyleTest , ,3,4,true,CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe , , ,CurriedMatchingDerivedSafe-(7.0/7.0) CurriedMatchingGivenSafe-(7.0/7.0) CurriedOnceInterpolatedSafe-(7.0/7.0) CurriedTwiceInterpolatedSafe-(7.0/7.0) CurryableInterpolatedSafe-(7.0/7.0) CurryableMatchingSafe-(7.0/7.0) , ,
33,Tue May 03 15:23:24 EDT 2022,88,11,FunctionalProgrammingTestSuite,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML+ InterpolatedSafeSML+ ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,ListDerivedSafeSML StyleTest , ,3,5,true,GivenSafeSML InterpolatedSafeSML , , ,GivenSafeSML-(7.0/7.0) InterpolatedSafeSML-(10.0/10.0) , ,
34,Tue May 03 15:23:25 EDT 2022,88,0,FunctionalProgrammingTestSuite,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,ListDerivedSafeSML StyleTest , ,3,6,true,GivenSafeSML InterpolatedSafeSML , , ,GivenSafeSML-(7.0/7.0) InterpolatedSafeSML-(10.0/10.0) , ,
35,Tue May 03 15:23:56 EDT 2022,88,0,StyleTest,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,ListDerivedSafeSML StyleTest , ,3,7,false, , ,StyleTest ,StyleTest-(0.0/40.0) , ,
36,Tue May 03 15:24:02 EDT 2022,94,6,ListsAndRecursionTestSuite,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML+ ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,StyleTest , ,3,8,true,ListDerivedSafeSML , , ,ListDerivedSafeSML-(15.0/15.0) , ,
37,Tue May 03 15:24:02 EDT 2022,94,0,ListDerivedSafeSML,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,StyleTest , ,3,9,false, , , ,ListDerivedSafeSML-(15.0/15.0) , ,
38,Tue May 03 15:24:03 EDT 2022,94,0,ListDerivedSafeSML,ConcisePrintSafety CurriedMatchingDerivedSafe CurriedMatchingGivenSafe CurriedOnceInterpolatedSafe CurriedTwiceInterpolatedSafe CurryableInterpolatedSafe CurryableMatchingSafe GivenSafeSML InterpolatedSafeSML ListDerivedSafeSML ListPrintSafety MatchingDerivedSafe MatchingGivenSafe MatchingSafe PrintSafety SMLGreetingLoadAndRun SocialDistanceSMLProvided , ,StyleTest , ,3,10,false, , , ,ListDerivedSafeSML-(15.0/15.0) , ,
